Sr. No.,NGO Name,Registration Number,Address,Sectors working
Sr No.,Name of VO/NGO,"Registration No.,City & State",Address,Sectors working in
1,LOKDHARA PRATISHTHAN,"E-12361 (THANE), BHIWANDI (MAHARASHTRA)","AT. SAMATANAGAR, BORIVALI, NEAR Z.P. SCHOOL MARATHI, POST. PADGHA, TAL. BHIWANDI","Art & Culture,Children,Education & Literacy,Aged/Elderly"
2,ALSISAR IMPACT SOCIAL VENTURES FOUNDATION,"U74999MH2017NPL369036, Mumbai (MAHARASHTRA)","Unit No.09, Floor No. 17, Cuffe Parade, Colaba Centre 1, World Trade Centre Mumbai Maharashtra 400005 India","Micro Small & Medium Enterprises,Tribal Affairs,Women's Development & Empowerment,Youth Affairs,Skill Development"
3,ANKUSH SHIKSHAN SANSTHA,"367188, Nagpur (MAHARASHTRA)","C.R.P.F. Gate No. 3, Digdoh Hills, Hingna Road, Nagpur, Nagpur, Maharashtra, India, 440016",Data Not Found
4,Living Water Gospel Broadcast,"D-64(BOM), MUMBAI (MAHARASHTRA)",NEV BHAVANA 422 SWATANTRYA VEER SAVARKAR MARG PRABHADEVI,Any Other
5,LOKMANYA CHARITABLE FOUNDATION,"U88900PN2023NPL220544, PUNE (MAHARASHTRA)",Chaitra Ban Society 3/4 S Nagar Wakadewadi Khadki Pune City Pune MH 411003 IN,Data Not Found
6,NARAYANI EMPOWERING INDIA FOUNDATION,"U85100PN2015NPL153974, PUNE (MAHARASHTRA)","S.NO 169/1, BLDG-A11, FLAT-12 SKF EMPLOYEES HSG. SCHEME, CHINCHWAD PUNE, MH 411033 IN",Data Not Found
7,PARASNATH SPIRITUAL FOUNDATION,"227781, Sangli (MAHARASHTRA)","RAMAPUR, PALUS Sangli Sangli Maharashtra India","Children,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,Sports,Women's Development & Empowerment,Skill Development"
8,SAMPURNEARTH LIVELIHOOD FOUNDATION,"U85300MH2022NPL395807, Vashi (MAHARASHTRA)","Office No. 808, Haware Infotech Park, Plot No.39/3, Sector No 30A, VashiVashi Mumbai City MH 400706 IN",Data Not Found
9,01. Shri Vatavruksha Swami Adhyatmik Sanshodhan Sansthan Sonna Tq. Dist Parbhani,"E-0000205(PBN), PARBHANI (MAHARASHTRA)",AT. SONNA POST. MANDAKHALI TQ.DIST. PARBHANI-431537,"Rural Development & Poverty Alleviation,Agriculture,Children,Education & Literacy,Health & Family Welfare,Information & Communication Technology,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other"
10,0JAYKRANTI BAHU UDDESHIYA SHIKSHAN PRASARAK SEVABHVI PRATISTAN MANDAL,"F9014, JALKOT (MAHARASHTRA)",ATRAMPUR TANDA POST GUTTI TQ JALKOT DIST LATUR,Data Not Found
11,1 EARTH SOCIAL FOUNDATION,"E-8263/PUNE, SHIRUR (MAHARASHTRA)","HOUSE NO. 295, MUKKAM POST MUKHAI,NEAR ST. STAND, TALUKA SHIRUR,","Education & Literacy,Health & Family Welfare"
12,1 RUPEE CLINIC FOUNDATION,"U85100MH2021NPL361664, Thane (MAHARASHTRA)","Dimond Homes Basment B, Opp Manas Society, Bhaskar, Thane, Thane, Maharashtra- 400099",Health & Family Welfare
13,1008 SHREE BHAGAVAN MAHAVIR DIGAMBAR JAIN CHARITABLE TRUST,"E-851, Aurangabad (MAHARASHTRA)","Saptshrungi housing society,RX-3/9,house no.-15,near jagrut hanuman mandir,Bajajnagar, Aurangabad pin code- 431136(Maharashtra)","Art & Culture,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Education & Literacy,Aged/Elderly,Health & Family Welfare,Human Rights,Rural Development & Poverty Alleviation,Women's Development & Empowerment"
14,14 Trees Foundation,"U93090PN2020NPL191410, PUNE (MAHARASHTRA)","A-502, Swojas Anand, Anand Park, Aundh",Environment & Forests
15,200M CO-IMPACT FOUNDATION,"U88900MH2023NPL401598, MUMBAI (MAHARASHTRA)","C/803,NISARG,OPP AXIS BANK,MAHAVIR NAGAR","Art & Culture,Micro Finance (SHGs),Any Other"
