Sr. No.,NGO Name,Registration Number,Address,Screen Reader Access
Sr No.,Name of VO/NGO,"Registration No.,City & State",Address,
1,AADARSHA VIKAS BAHUDDESHIYA SANSTHA NASHIK,"Nashik/0000461/2023, Nashik (MAHARASHTRA)",Ghar No 364 Dhabadgaon Vadgaon Tal Nashik Dist Nashik,
2,aadarshshikshansanstha,"MAH-5253-90-PUNE, DAUND (MAHARASHTRA)",JIJAMATA VIDYALAYA GOPALWADI ROAD AT AND POST GOPALWADI TALUKA DAUND DIST PUNE PIN CODE 413801,
3,AADAWAH MULTIPURPOSE EDUCATION SOCIETY,"F-16884, NAGPUR (MAHARASHTRA)","SHOP NO. 36, FIRST FLOOR POONAM CHEMBERS, CHHAONI, NAGPUR -440013",
4,AADDYA BANJARA MAHILA HASTKALA VIKAS KENDRA NAIKNAGAR MURUM,"F-12581, naik nagar murum (MAHARASHTRA)","naik nagar murum, tq omerga, dist osmanabad",
5,AADHAAR BAHUUDDESHIYA SANSTHA WATHODA,"MH/151/13, F-16026/YTL, YAVATMAL (MAHARASHTRA)",AT.WATHODA POST.DABHA TQ.KELAPUR DIST.YAVATMAL,
6,AADHAAR FOUNDATION,"F-23953 BEED, GEORAI (MAHARASHTRA)","Plot No. 34 Behind R B Attal Collage Georai, Tq.Georai Dist.Beed",
7,AADHAAR SAMAJIK PRATISHTHAN,"MH/263/2017, Beed (MAHARASHTRA)","Bhagwati Construction, Canol Road, Beed, Tal.Dist.Beed",
8,AADHAAR SAMAJIK SANSTHA,"MAHA/349/2019, Kamaghar Bhiwandi (MAHARASHTRA)",Kamaghar Bhiwandi Thane,
9,AADHAARSWPAN BAHUUDDESHIYA SANSTHA CHANDRAPUR,"0000042/2023, Warora (MAHARASHTRA)","c/o: Santosh Fulzhale, Borda Chauk, warora, chandrapur",
10,AADHAR ANDHA APANG MATINAND SEVABHAVI PURANWASAN KENDRA,"E-717 (ABAD), AURANGABAD (MAHARASHTRA)","NO.1-9-29, LODHIPURA, BUDDI LANE, AURANGABAD",
11,AADHAR ADIVASHI SEVA ASHRAM CHARITABLE TRUST,"E029288, Ghatkopar (MAHARASHTRA)","Aadhar Adiwashi Seva Ashram Charitable trust, Altaf Nagar, Golibar Road, Near Doctor Lokhande, Ghatkopar, Mumbai400086",
12,AADHAR ADIVASI VIKAS BAHUDDESHIY SANSTHA SUKALI,"F - 10303, SUKALI (MAHARASHTRA)",AT SUKALI POST UKALI PEN TQ WASHIM DIST WASHIM PIN CODE 444505,
13,AADHAR ANDHA APANG MATIMAND SEVABHAVI PUNARVASAN KENDRA,"E717, AURANAGABD (MAHARASHTRA)",HOUSE NO 1-9-29 LODHI PURA BUDDI LANE AURANGABAD,
14,AADHAR BAHHUUDESHIYA VIKAS SANSTHA,"F-28341, Paratwada (MAHARASHTRA)","C/o Smt. B. R. Kankenwar, 20/A, Madhur Colony, Amravati Road, Paratwada- 444805 Dist.Amravati",
